sampleID	pair		pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield	notes	isgood	wasmodified	windowsize	rate_Kris	rate_Kris_sd	OD_Kris	OD_Kris_sd			
4/26/2019-sOP-56	DvH Anc. (D2) & UE3.152.09.M02	DvH Anc. (D2) & UE3.152.09.M02Jess	Dan_Mev	D0_M9	AN.02.D.NA	AN	2	D	An	UE3.152.09.M02	UE3	152	9	M02	0.007173072	0.34163631	Jess	richards	richards	OD600	0.007921508	0.001285061	0.360892918	0.019043743		0	1	74	0.039496144	0.00036112	0.332852	0.005067491	4	0.039496144	0.332852
8/20/2019-sPOD-25	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	34	0.049882497	0.00088323	0.339663588	0.001395793	16	0.049882497	0.339663588
8/20/2019-sPOD-26	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	33	0.06060756	0.001617767	0.381336589	0.001907597	16	0.06060756	0.381336589
8/20/2019-sPOD-27	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	27	0.071280003	0.001285527	0.325195274	0.002665869	16	0.071280003	0.325195274
8/20/2019-sPOD-28	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	36	0.044308084	0.000837726	0.330956757	0.003306859	16	0.044308084	0.330956757
8/20/2019-sPOD-29	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	38	0.031477027	0.000441572	0.380126044	0.071877561	16	0.031477027	0.380126044
8/20/2019-sPOD-30	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	31	0.054533517	0.000465517	0.3946573	0.002573476	16	0.054533517	0.3946573
8/20/2019-sPOD-31	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	38	0.050390736	0.000491818	0.366223739	0.083539368	16	0.050390736	0.366223739
8/20/2019-sPOD-32	UE3.152.03.D03 & Mmp Anc. (M1)	UE3.152.03.D03 & Mmp Anc. (M1)Jess	Dev_Man	D3_M0	UE3.152.03.D03	UE3	152	3	D03	Mmp Anc. (M1)	AN	1	M	An			Jess									0	0	52	0.048210412	0.002016557	0.331728492	0.004668097	16	0.048210412	0.331728492
5/6/2019-sAP-09	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.015652262	0.374235243	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	0	56	0.087316276	0.009317598	0.431094	0.035244962	9	0.087316276	0.431094
