Simulation no	Total Gscore
154	563.069311
155	593.2305269
156	593.2305269
157	565.300907
158	565.300907
159	573.0954094
160	573.0954094
161	578.4396349
162	578.4396349
163	563.1630292
164	563.1630292
165	555.0712028
166	555.0712028
167	565.8965533
168	573.8215901
169	581.7129003
170	581.7129003
171	548.7162129
172	548.7162129
173	549.2143713
174	549.2143713
175	560.7750139
176	560.7750139
177	560.7307327
178	560.7307327
179	558.0231701
180	558.0231701
181	549.8971477
182	549.8971477
183	563.5831171
184	571.5081538
185	545.409602
186	545.409602
187	565.9428761
188	565.9428761
189	559.9409416
190	559.9409416
191	569.3371704
192	569.3371704
193	564.360095
194	564.360095
195	569.9872871
196	569.9872871
197	546.3254553
198	546.3254553
199	541.2186853
200	541.2186853
201	580.229312
202	580.229312
203	533.263939
204	533.263939
205	567.6142079
206	567.6142079
207	566.6732491
208	566.6732491
209	606.0668267
210	613.9918635
211	561.1018217
212	561.1018217
213	545.5864139
214	545.5864139
215	564.386369
216	564.386369
217	561.9261384
218	561.9261384
219	536.8261797
220	536.8261797
221	587.1292979
222	595.0543346
223	569.4994925
224	569.4994925
225	554.431083
226	554.431083
227	564.6568294
228	564.6568294
229	589.5681744
230	589.5681744
231	552.4456929
232	552.4456929
233	563.4389632
234	563.4389632
235	609.188531
236	609.188531
237	617.368568
238	617.368568
239	548.9648615
240	548.9648615
241	573.361778
242	573.361778
243	593.2980732
244	593.2980732
245	574.2856193
246	582.2106561
247	548.3405742
248	548.3405742
249	550.5333463
250	550.5333463
251	547.1971745
252	547.1971745
253	560.608888
254	560.608888
255	547.7196603
256	547.7196603
257	564.9980294
258	564.9980294
259	565.3233901
260	565.3233901
261	558.968469
262	558.968469
263	561.4532387
264	561.4532387
265	551.7752539
266	551.7752539
267	560.6582614
268	560.6582614
269	558.080607
270	558.080607
271	586.2835864
272	586.2835864
273	562.8423433
274	562.8423433
275	564.5310854
276	564.5310854
277	605.4524091
278	605.4524091
279	581.6428545
280	581.6428545
281	572.8510137
282	572.8510137
283	572.9819737
284	572.9819737
285	570.5449065
286	570.5449065
287	584.3006101
288	584.3006101
289	547.9950188
290	547.9950188
291	549.3642872
292	549.3642872
293	584.4553252
294	584.4553252
295	547.7640728
296	547.7640728
297	576.0504325
298	576.0504325
299	562.2162698
300	562.2162698
301	580.7479309
302	580.7479309
303	560.7480541
304	560.7480541
305	566.8130314
306	574.7380682
307	558.38606
308	558.38606
309	575.9152515
310	575.9152515
311	553.337153
312	553.337153
313	567.2467674
314	575.1718042
315	572.4692556
316	572.4692556
317	582.8082343
318	582.8082343
319	544.2367881
320	544.2367881
321	572.2569637
322	580.1820005
323	569.0135763
324	569.0135763
325	569.042893
326	569.042893
327	562.1114216
328	562.1114216
329	545.6871095
330	545.6871095
331	574.5462829
332	574.5462829
333	573.6901229
334	573.6901229
335	546.9886123
336	546.9886123
337	561.4156128
338	561.4156128
