Simulation #	Total G-Score
580	815.666311
581	796.0921046
582	816.7582561
583	832.0445029
584	812.387852
585	801.874498
586	817.0836969
587	805.3696488
588	783.903958
589	797.3858411
590	800.4279683
591	801.3433298
592	778.1963114
593	784.2039857
594	780.7366069
595	798.9005338
596	824.7723074
597	812.7272907
598	773.2247231
599	781.6149312
600	794.3550812
601	785.5567159
602	815.070911
603	785.8479787
604	806.4505368
605	783.0721698
606	809.1482103
607	817.8219599
608	780.617062
609	799.4456839
610	802.3168904
611	787.4647943
612	817.3290904
613	823.7151844
614	784.3877406
615	790.4490926
616	817.079514
617	784.1534022
618	808.8470881
619	779.2242039
620	768.5602937
621	800.2320011
622	775.3346748
623	804.1051058
624	801.0339292
625	781.2729695
626	797.0202804
627	812.7272898
628	791.2066607
629	775.5175325
630	777.8720367
631	815.5706425
632	789.4659294
633	802.3783965
634	773.2753537
635	856.1382449
636	829.0144809
637	788.2183279
638	787.6253743
639	821.7902638
640	796.962408
641	812.6747424
642	801.1650848
643	796.3259898
644	792.8862904
645	790.4139265
646	799.7921235
647	802.0399681
648	803.1696136
649	777.995798
650	793.6807438
651	796.0728911
652	799.8186254
653	774.4020335
654	819.9314613
655	808.3484915
656	793.1642162
657	791.5514846
658	800.4447341
659	810.7505725
660	802.0349767
661	789.6492815
662	775.7329225
663	784.599072
664	822.441961
665	789.3749804
666	826.781745
667	797.3055062
668	805.5600216
669	776.6485529
670	797.4228684
671	813.6655308
672	819.428509
673	798.0305686
674	838.2501239
675	802.2749823
676	793.219433
677	805.8527103
678	796.6929227
679	789.0453847
680	804.2833167
681	800.8617406
682	779.2615724
683	797.992076
684	760.161064
685	789.6826214
686	829.3352987
687	837.7152523
688	787.8554487
689	790.3748645
690	785.0266558
691	789.6863614
692	814.9710969
693	807.5878299
694	789.9045771
695	805.0594711
696	796.7088866
697	815.0813384
698	782.4190617
699	770.2872597
700	807.755863
701	797.4451197
702	796.1804712
703	794.1849538
704	814.0657608
705	798.0545477
706	785.7002091
707	812.985946
708	795.8364562
709	782.8582312
710	795.3354382
711	822.3618019
712	807.8714034
713	798.1144956
714	780.6453358
715	778.0268104
716	819.7914674
717	785.8814589
718	790.9696038
719	804.7547464
720	779.6438569
721	798.4977614
722	816.2939717
723	793.254905
724	791.638938
725	787.819875
726	813.9955467
727	805.6132278
728	787.1341518
729	806.6893811
730	799.3078241
731	824.0285127
732	820.7973163
733	797.6174141
734	800.3607174
735	806.7412922
736	791.2119239
737	816.4851925
738	785.8908419
739	798.126813
740	772.6124993
741	786.0580081
742	782.7945599
743	811.7026369
744	790.26034
745	811.0558581
746	781.0922294
747	797.0432714
748	817.7383078
749	805.3630586
750	793.4736494
751	764.1786041
752	803.271594
753	796.5599366
754	777.5106733
755	791.8281178
756	789.2104994
757	796.4668017
758	800.9140801
759	789.8872641
760	814.0965311
761	795.6497772
762	790.8680565
763	779.2548678
764	782.166184
765	790.117493
766	818.6172506
767	799.1456153
768	803.8152349
769	811.2202077
770	816.8877567
771	798.6262221
772	812.2931658
773	788.2004334
774	803.2089418
775	769.112586
776	811.1159104
777	793.2924863
778	826.0641469
779	775.5564051
780	809.9433071
781	816.2488931
782	807.1350854
783	788.8279164
784	812.8105504
785	790.5318642
786	812.0966016
787	815.4955115
788	787.3393456
789	778.2992975
790	805.6654927
791	804.2607284
792	786.1016969
793	800.136288
794	792.3690764
795	836.8033031
796	802.0153898
797	780.4052094
798	813.0059578
799	799.8790944
800	807.7540136
801	781.9696236
802	788.642321
803	796.2553368
804	800.8086833
805	788.6060442
806	794.7089366
807	801.1258743
808	771.5416612
809	804.7193102
810	789.4347217
811	826.6561316
812	789.2979068
813	808.6825055
